"person","item","poly","dich","description","anger","male","do","other","scold","shout"
78,7,0,0,"do store curse",22,0,0,0,0,0
78,8,0,0,"do store scold",22,0,0,0,1,0
78,9,0,0,"do store shout",22,0,0,0,0,1
78,10,0,0,"do operator curse",22,0,0,0,0,0
78,11,0,0,"do operator scold",22,0,0,0,1,0
78,12,0,0,"do operator shout",22,0,0,0,0,1
78,13,0,0,"want bus curse",22,0,1,1,0,0
78,14,1,1,"want bus scold",22,0,1,1,1,0
78,15,0,0,"want bus shout",22,0,1,1,0,1
78,16,0,0,"want train curse",22,0,1,1,0,0
78,17,0,0,"want train scold",22,0,1,1,1,0
78,18,0,0,"want train shout",22,0,1,1,0,1
78,19,0,0,"want store curse",22,0,1,0,0,0
78,20,0,0,"want store scold",22,0,1,0,1,0
78,21,0,0,"want store shout",22,0,1,0,0,1
78,22,0,0,"want operator curse",22,0,1,0,0,0
78,23,0,0,"want operator scold",22,0,1,0,1,0
78,24,0,0,"want operator shout",22,0,1,0,0,1
79,1,1,1,"do bus curse",22,1,0,1,0,0
79,2,0,0,"do bus scold",22,1,0,1,1,0
79,3,0,0,"do bus shout",22,1,0,1,0,1
79,4,2,1,"do train curse",22,1,0,1,0,0
79,5,0,0,"do train scold",22,1,0,1,1,0
79,6,1,1,"do train shout",22,1,0,1,0,1
79,7,2,1,"do store curse",22,1,0,0,0,0
79,8,0,0,"do store scold",22,1,0,0,1,0
79,9,0,0,"do store shout",22,1,0,0,0,1
79,10,2,1,"do operator curse",22,1,0,0,0,0
79,11,0,0,"do operator scold",22,1,0,0,1,0
79,12,1,1,"do operator shout",22,1,0,0,0,1
79,13,0,0,"want bus curse",22,1,1,1,0,0
79,14,0,0,"want bus scold",22,1,1,1,1,0
79,15,0,0,"want bus shout",22,1,1,1,0,1
79,16,0,0,"want train curse",22,1,1,1,0,0
79,17,1,1,"want train scold",22,1,1,1,1,0
79,18,1,1,"want train shout",22,1,1,1,0,1
79,19,0,0,"want store curse",22,1,1,0,0,0
79,20,0,0,"want store scold",22,1,1,0,1,0
79,21,0,0,"want store shout",22,1,1,0,0,1
79,22,0,0,"want operator curse",22,1,1,0,0,0
79,23,0,0,"want operator scold",22,1,1,0,1,0
79,24,0,0,"want operator shout",22,1,1,0,0,1
80,1,2,1,"do bus curse",19,1,0,1,0,0
80,2,0,0,"do bus scold",19,1,0,1,1,0
80,3,0,0,"do bus shout",19,1,0,1,0,1
80,4,2,1,"do train curse",19,1,0,1,0,0
80,5,0,0,"do train scold",19,1,0,1,1,0
80,6,0,0,"do train shout",19,1,0,1,0,1
80,7,0,0,"do store curse",19,1,0,0,0,0
80,8,0,0,"do store scold",19,1,0,0,1,0
80,9,0,0,"do store shout",19,1,0,0,0,1
80,10,1,1,"do operator curse",19,1,0,0,0,0
80,11,0,0,"do operator scold",19,1,0,0,1,0
80,12,0,0,"do operator shout",19,1,0,0,0,1
80,13,2,1,"want bus curse",19,1,1,1,0,0
80,14,2,1,"want bus scold",19,1,1,1,1,0
80,15,0,0,"want bus shout",19,1,1,1,0,1
80,16,2,1,"want train curse",19,1,1,1,0,0
80,17,0,0,"want train scold",19,1,1,1,1,0
80,18,0,0,"want train shout",19,1,1,1,0,1
80,19,1,1,"want store curse",19,1,1,0,0,0
80,20,1,1,"want store scold",19,1,1,0,1,0
80,21,0,0,"want store shout",19,1,1,0,0,1
80,22,1,1,"want operator curse",19,1,1,0,0,0
80,23,1,1,"want operator scold",19,1,1,0,1,0
80,24,0,0,"want operator shout",19,1,1,0,0,1
81,1,2,1,"do bus curse",19,1,0,1,0,0
81,2,1,1,"do bus scold",19,1,0,1,1,0
81,3,0,0,"do bus shout",19,1,0,1,0,1
81,4,0,0,"do train curse",19,1,0,1,0,0
81,5,0,0,"do train scold",19,1,0,1,1,0
81,6,0,0,"do train shout",19,1,0,1,0,1
81,7,0,0,"do store curse",19,1,0,0,0,0
81,8,0,0,"do store scold",19,1,0,0,1,0
81,9,0,0,"do store shout",19,1,0,0,0,1
81,10,2,1,"do operator curse",19,1,0,0,0,0
81,11,1,1,"do operator scold",19,1,0,0,1,0
81,12,0,0,"do operator shout",19,1,0,0,0,1
81,13,0,0,"want bus curse",19,1,1,1,0,0
81,14,1,1,"want bus scold",19,1,1,1,1,0
81,15,0,0,"want bus shout",19,1,1,1,0,1
81,16,0,0,"want train curse",19,1,1,1,0,0
81,17,0,0,"want train scold",19,1,1,1,1,0
81,18,0,0,"want train shout",19,1,1,1,0,1
81,19,0,0,"want store curse",19,1,1,0,0,0
81,20,0,0,"want store scold",19,1,1,0,1,0
81,21,0,0,"want store shout",19,1,1,0,0,1
81,22,0,0,"want operator curse",19,1,1,0,0,0
81,23,0,0,"want operator scold",19,1,1,0,1,0
81,24,0,0,"want operator shout",19,1,1,0,0,1
82,1,2,1,"do bus curse",21,0,0,1,0,0
82,2,2,1,"do bus scold",21,0,0,1,1,0
82,3,1,1,"do bus shout",21,0,0,1,0,1
82,4,2,1,"do train curse",21,0,0,1,0,0
82,5,2,1,"do train scold",21,0,0,1,1,0
82,6,0,0,"do train shout",21,0,0,1,0,1
82,7,1,1,"do store curse",21,0,0,0,0,0
82,8,1,1,"do store scold",21,0,0,0,1,0
82,9,0,0,"do store shout",21,0,0,0,0,1
82,10,2,1,"do operator curse",21,0,0,0,0,0
82,11,1,1,"do operator scold",21,0,0,0,1,0
82,12,0,0,"do operator shout",21,0,0,0,0,1
82,13,1,1,"want bus curse",21,0,1,1,0,0
82,14,1,1,"want bus scold",21,0,1,1,1,0
82,15,1,1,"want bus shout",21,0,1,1,0,1
82,16,1,1,"want train curse",21,0,1,1,0,0
82,17,1,1,"want train scold",21,0,1,1,1,0
82,18,0,0,"want train shout",21,0,1,1,0,1
82,19,1,1,"want store curse",21,0,1,0,0,0
82,20,1,1,"want store scold",21,0,1,0,1,0
82,21,0,0,"want store shout",21,0,1,0,0,1
82,22,1,1,"want operator curse",21,0,1,0,0,0
82,23,1,1,"want operator scold",21,0,1,0,1,0
82,24,0,0,"want operator shout",21,0,1,0,0,1
83,1,1,1,"do bus curse",25,0,0,1,0,0
83,2,0,0,"do bus scold",25,0,0,1,1,0
83,3,0,0,"do bus shout",25,0,0,1,0,1
83,4,2,1,"do train curse",25,0,0,1,0,0
83,5,0,0,"do train scold",25,0,0,1,1,0
83,6,0,0,"do train shout",25,0,0,1,0,1
83,7,0,0,"do store curse",25,0,0,0,0,0
83,8,2,1,"do store scold",25,0,0,0,1,0
83,9,0,0,"do store shout",25,0,0,0,0,1
83,10,2,1,"do operator curse",25,0,0,0,0,0
83,11,0,0,"do operator scold",25,0,0,0,1,0
83,12,0,0,"do operator shout",25,0,0,0,0,1
83,13,1,1,"want bus curse",25,0,1,1,0,0
83,14,0,0,"want bus scold",25,0,1,1,1,0
83,15,0,0,"want bus shout",25,0,1,1,0,1
83,16,1,1,"want train curse",25,0,1,1,0,0
83,17,1,1,"want train scold",25,0,1,1,1,0
83,18,0,0,"want train shout",25,0,1,1,0,1
83,19,1,1,"want store curse",25,0,1,0,0,0
83,20,1,1,"want store scold",25,0,1,0,1,0
83,21,0,0,"want store shout",25,0,1,0,0,1
83,22,0,0,"want operator curse",25,0,1,0,0,0
83,23,1,1,"want operator scold",25,0,1,0,1,0
83,24,0,0,"want operator shout",25,0,1,0,0,1
84,1,2,1,"do bus curse",19,0,0,1,0,0
84,2,0,0,"do bus scold",19,0,0,1,1,0
84,3,1,1,"do bus shout",19,0,0,1,0,1
84,4,1,1,"do train curse",19,0,0,1,0,0
84,5,0,0,"do train scold",19,0,0,1,1,0
84,6,0,0,"do train shout",19,0,0,1,0,1
84,7,1,1,"do store curse",19,0,0,0,0,0
84,8,0,0,"do store scold",19,0,0,0,1,0
84,9,0,0,"do store shout",19,0,0,0,0,1
84,10,1,1,"do operator curse",19,0,0,0,0,0
84,11,0,0,"do operator scold",19,0,0,0,1,0
84,12,0,0,"do operator shout",19,0,0,0,0,1
84,13,1,1,"want bus curse",19,0,1,1,0,0
84,14,0,0,"want bus scold",19,0,1,1,1,0
84,15,0,0,"want bus shout",19,0,1,1,0,1
84,16,0,0,"want train curse",19,0,1,1,0,0
84,17,0,0,"want train scold",19,0,1,1,1,0
84,18,0,0,"want train shout",19,0,1,1,0,1
84,19,0,0,"want store curse",19,0,1,0,0,0
84,20,0,0,"want store scold",19,0,1,0,1,0
84,21,0,0,"want store shout",19,0,1,0,0,1
84,22,1,1,"want operator curse",19,0,1,0,0,0
84,23,0,0,"want operator scold",19,0,1,0,1,0
84,24,0,0,"want operator shout",19,0,1,0,0,1
85,1,1,1,"do bus curse",26,0,0,1,0,0
85,2,2,1,"do bus scold",26,0,0,1,1,0
85,3,0,0,"do bus shout",26,0,0,1,0,1
85,4,1,1,"do train curse",26,0,0,1,0,0
85,5,1,1,"do train scold",26,0,0,1,1,0
85,6,0,0,"do train shout",26,0,0,1,0,1
85,7,0,0,"do store curse",26,0,0,0,0,0
85,8,0,0,"do store scold",26,0,0,0,1,0
85,9,0,0,"do store shout",26,0,0,0,0,1
85,10,1,1,"do operator curse",26,0,0,0,0,0
85,11,1,1,"do operator scold",26,0,0,0,1,0
85,12,1,1,"do operator shout",26,0,0,0,0,1
85,13,1,1,"want bus curse",26,0,1,1,0,0
85,14,1,1,"want bus scold",26,0,1,1,1,0
85,15,1,1,"want bus shout",26,0,1,1,0,1
85,16,0,0,"want train curse",26,0,1,1,0,0
85,17,1,1,"want train scold",26,0,1,1,1,0
85,18,1,1,"want train shout",26,0,1,1,0,1
85,19,0,0,"want store curse",26,0,1,0,0,0
85,20,0,0,"want store scold",26,0,1,0,1,0
85,21,0,0,"want store shout",26,0,1,0,0,1
85,22,1,1,"want operator curse",26,0,1,0,0,0
85,23,1,1,"want operator scold",26,0,1,0,1,0
85,24,1,1,"want operator shout",26,0,1,0,0,1
86,1,0,0,"do bus curse",18,0,0,1,0,0
86,2,0,0,"do bus scold",18,0,0,1,1,0
86,3,0,0,"do bus shout",18,0,0,1,0,1
86,4,1,1,"do train curse",18,0,0,1,0,0
86,5,0,0,"do train scold",18,0,0,1,1,0
86,6,0,0,"do train shout",18,0,0,1,0,1
86,7,0,0,"do store curse",18,0,0,0,0,0
86,8,0,0,"do store scold",18,0,0,0,1,0
86,9,0,0,"do store shout",18,0,0,0,0,1
86,10,1,1,"do operator curse",18,0,0,0,0,0
86,11,0,0,"do operator scold",18,0,0,0,1,0
86,12,0,0,"do operator shout",18,0,0,0,0,1
86,13,0,0,"want bus curse",18,0,1,1,0,0
86,14,0,0,"want bus scold",18,0,1,1,1,0
86,15,0,0,"want bus shout",18,0,1,1,0,1
86,16,0,0,"want train curse",18,0,1,1,0,0
86,17,0,0,"want train scold",18,0,1,1,1,0
86,18,0,0,"want train shout",18,0,1,1,0,1
86,19,0,0,"want store curse",18,0,1,0,0,0
86,20,0,0,"want store scold",18,0,1,0,1,0
86,21,0,0,"want store shout",18,0,1,0,0,1
86,22,0,0,"want operator curse",18,0,1,0,0,0
86,23,0,0,"want operator scold",18,0,1,0,1,0
86,24,0,0,"want operator shout",18,0,1,0,0,1
87,1,2,1,"do bus curse",20,0,0,1,0,0
87,2,2,1,"do bus scold",20,0,0,1,1,0
87,3,1,1,"do bus shout",20,0,0,1,0,1
87,4,2,1,"do train curse",20,0,0,1,0,0
87,5,1,1,"do train scold",20,0,0,1,1,0
87,6,1,1,"do train shout",20,0,0,1,0,1
87,7,2,1,"do store curse",20,0,0,0,0,0
87,8,1,1,"do store scold",20,0,0,0,1,0
87,9,1,1,"do store shout",20,0,0,0,0,1
87,10,1,1,"do operator curse",20,0,0,0,0,0
87,11,1,1,"do operator scold",20,0,0,0,1,0
87,12,0,0,"do operator shout",20,0,0,0,0,1
87,13,1,1,"want bus curse",20,0,1,1,0,0
87,14,1,1,"want bus scold",20,0,1,1,1,0
87,15,1,1,"want bus shout",20,0,1,1,0,1
87,16,0,0,"want train curse",20,0,1,1,0,0
87,17,0,0,"want train scold",20,0,1,1,1,0
87,18,0,0,"want train shout",20,0,1,1,0,1
87,19,1,1,"want store curse",20,0,1,0,0,0
87,20,1,1,"want store scold",20,0,1,0,1,0
87,21,0,0,"want store shout",20,0,1,0,0,1
87,22,1,1,"want operator curse",20,0,1,0,0,0
87,23,1,1,"want operator scold",20,0,1,0,1,0
87,24,0,0,"want operator shout",20,0,1,0,0,1
88,1,2,1,"do bus curse",17,0,0,1,0,0
88,2,1,1,"do bus scold",17,0,0,1,1,0
88,3,1,1,"do bus shout",17,0,0,1,0,1
88,4,2,1,"do train curse",17,0,0,1,0,0
88,5,1,1,"do train scold",17,0,0,1,1,0
88,6,0,0,"do train shout",17,0,0,1,0,1
88,7,1,1,"do store curse",17,0,0,0,0,0
88,8,0,0,"do store scold",17,0,0,0,1,0
88,9,0,0,"do store shout",17,0,0,0,0,1
88,10,2,1,"do operator curse",17,0,0,0,0,0
88,11,2,1,"do operator scold",17,0,0,0,1,0
88,12,1,1,"do operator shout",17,0,0,0,0,1
88,13,1,1,"want bus curse",17,0,1,1,0,0
88,14,1,1,"want bus scold",17,0,1,1,1,0
88,15,0,0,"want bus shout",17,0,1,1,0,1
88,16,1,1,"want train curse",17,0,1,1,0,0
88,17,0,0,"want train scold",17,0,1,1,1,0
88,18,0,0,"want train shout",17,0,1,1,0,1
88,19,0,0,"want store curse",17,0,1,0,0,0
88,20,0,0,"want store scold",17,0,1,0,1,0
88,21,0,0,"want store shout",17,0,1,0,0,1
88,22,1,1,"want operator curse",17,0,1,0,0,0
88,23,2,1,"want operator scold",17,0,1,0,1,0
88,24,1,1,"want operator shout",17,0,1,0,0,1
89,1,1,1,"do bus curse",17,1,0,1,0,0
89,2,0,0,"do bus scold",17,1,0,1,1,0
89,3,0,0,"do bus shout",17,1,0,1,0,1
89,4,2,1,"do train curse",17,1,0,1,0,0
89,5,0,0,"do train scold",17,1,0,1,1,0
89,6,0,0,"do train shout",17,1,0,1,0,1
89,7,1,1,"do store curse",17,1,0,0,0,0
89,8,0,0,"do store scold",17,1,0,0,1,0
89,9,0,0,"do store shout",17,1,0,0,0,1
89,10,2,1,"do operator curse",17,1,0,0,0,0
89,11,0,0,"do operator scold",17,1,0,0,1,0
89,12,0,0,"do operator shout",17,1,0,0,0,1
89,13,1,1,"want bus curse",17,1,1,1,0,0
89,14,0,0,"want bus scold",17,1,1,1,1,0
89,15,0,0,"want bus shout",17,1,1,1,0,1
89,16,2,1,"want train curse",17,1,1,1,0,0
89,17,0,0,"want train scold",17,1,1,1,1,0
89,18,0,0,"want train shout",17,1,1,1,0,1
89,19,1,1,"want store curse",17,1,1,0,0,0
89,20,0,0,"want store scold",17,1,1,0,1,0
89,21,0,0,"want store shout",17,1,1,0,0,1
89,22,2,1,"want operator curse",17,1,1,0,0,0
89,23,1,1,"want operator scold",17,1,1,0,1,0
89,24,0,0,"want operator shout",17,1,1,0,0,1
90,1,2,1,"do bus curse",16,0,0,1,0,0
90,2,0,0,"do bus scold",16,0,0,1,1,0
90,3,0,0,"do bus shout",16,0,0,1,0,1
90,4,1,1,"do train curse",16,0,0,1,0,0
90,5,0,0,"do train scold",16,0,0,1,1,0
90,6,0,0,"do train shout",16,0,0,1,0,1
90,7,0,0,"do store curse",16,0,0,0,0,0
90,8,0,0,"do store scold",16,0,0,0,1,0
90,9,0,0,"do store shout",16,0,0,0,0,1
90,10,1,1,"do operator curse",16,0,0,0,0,0
90,11,0,0,"do operator scold",16,0,0,0,1,0
90,12,0,0,"do operator shout",16,0,0,0,0,1
90,13,0,0,"want bus curse",16,0,1,1,0,0
90,14,0,0,"want bus scold",16,0,1,1,1,0
90,15,0,0,"want bus shout",16,0,1,1,0,1
90,16,0,0,"want train curse",16,0,1,1,0,0
90,17,0,0,"want train scold",16,0,1,1,1,0
90,18,0,0,"want train shout",16,0,1,1,0,1
90,19,0,0,"want store curse",16,0,1,0,0,0
90,20,0,0,"want store scold",16,0,1,0,1,0
90,21,0,0,"want store shout",16,0,1,0,0,1
90,22,0,0,"want operator curse",16,0,1,0,0,0
90,23,0,0,"want operator scold",16,0,1,0,1,0
90,24,0,0,"want operator shout",16,0,1,0,0,1
91,1,1,1,"do bus curse",22,0,0,1,0,0
91,2,0,0,"do bus scold",22,0,0,1,1,0
91,3,0,0,"do bus shout",22,0,0,1,0,1
91,4,0,0,"do train curse",22,0,0,1,0,0
91,5,0,0,"do train scold",22,0,0,1,1,0
91,6,0,0,"do train shout",22,0,0,1,0,1
91,7,1,1,"do store curse",22,0,0,0,0,0
91,8,0,0,"do store scold",22,0,0,0,1,0
91,9,0,0,"do store shout",22,0,0,0,0,1
91,10,1,1,"do operator curse",22,0,0,0,0,0
91,11,0,0,"do operator scold",22,0,0,0,1,0
91,12,0,0,"do operator shout",22,0,0,0,0,1
91,13,0,0,"want bus curse",22,0,1,1,0,0
91,14,0,0,"want bus scold",22,0,1,1,1,0
91,15,0,0,"want bus shout",22,0,1,1,0,1
91,16,0,0,"want train curse",22,0,1,1,0,0
91,17,0,0,"want train scold",22,0,1,1,1,0
91,18,0,0,"want train shout",22,0,1,1,0,1
91,19,0,0,"want store curse",22,0,1,0,0,0
91,20,0,0,"want store scold",22,0,1,0,1,0
91,21,0,0,"want store shout",22,0,1,0,0,1
91,22,0,0,"want operator curse",22,0,1,0,0,0
91,23,0,0,"want operator scold",22,0,1,0,1,0
91,24,0,0,"want operator shout",22,0,1,0,0,1
92,1,0,0,"do bus curse",16,0,0,1,0,0
92,2,0,0,"do bus scold",16,0,0,1,1,0
92,3,0,0,"do bus shout",16,0,0,1,0,1
92,4,0,0,"do train curse",16,0,0,1,0,0
92,5,0,0,"do train scold",16,0,0,1,1,0
92,6,0,0,"do train shout",16,0,0,1,0,1
92,7,0,0,"do store curse",16,0,0,0,0,0
92,8,0,0,"do store scold",16,0,0,0,1,0
92,9,0,0,"do store shout",16,0,0,0,0,1
92,10,0,0,"do operator curse",16,0,0,0,0,0
92,11,0,0,"do operator scold",16,0,0,0,1,0
92,12,0,0,"do operator shout",16,0,0,0,0,1
92,13,0,0,"want bus curse",16,0,1,1,0,0
92,14,0,0,"want bus scold",16,0,1,1,1,0
92,15,0,0,"want bus shout",16,0,1,1,0,1
92,16,0,0,"want train curse",16,0,1,1,0,0
92,17,0,0,"want train scold",16,0,1,1,1,0
92,18,0,0,"want train shout",16,0,1,1,0,1
92,19,0,0,"want store curse",16,0,1,0,0,0
92,20,0,0,"want store scold",16,0,1,0,1,0
92,21,1,1,"want store shout",16,0,1,0,0,1
92,22,0,0,"want operator curse",16,0,1,0,0,0
92,23,0,0,"want operator scold",16,0,1,0,1,0
92,24,0,0,"want operator shout",16,0,1,0,0,1
93,1,2,1,"do bus curse",19,1,0,1,0,0
93,2,2,1,"do bus scold",19,1,0,1,1,0
93,3,0,0,"do bus shout",19,1,0,1,0,1
93,4,1,1,"do train curse",19,1,0,1,0,0
93,5,0,0,"do train scold",19,1,0,1,1,0
93,6,0,0,"do train shout",19,1,0,1,0,1
93,7,1,1,"do store curse",19,1,0,0,0,0
93,8,1,1,"do store scold",19,1,0,0,1,0
93,9,0,0,"do store shout",19,1,0,0,0,1
93,10,2,1,"do operator curse",19,1,0,0,0,0
93,11,1,1,"do operator scold",19,1,0,0,1,0
93,12,0,0,"do operator shout",19,1,0,0,0,1
93,13,2,1,"want bus curse",19,1,1,1,0,0
93,14,2,1,"want bus scold",19,1,1,1,1,0
93,15,0,0,"want bus shout",19,1,1,1,0,1
93,16,1,1,"want train curse",19,1,1,1,0,0
93,17,1,1,"want train scold",19,1,1,1,1,0
93,18,0,0,"want train shout",19,1,1,1,0,1
93,19,0,0,"want store curse",19,1,1,0,0,0
93,20,0,0,"want store scold",19,1,1,0,1,0
93,21,0,0,"want store shout",19,1,1,0,0,1
93,22,1,1,"want operator curse",19,1,1,0,0,0
93,23,1,1,"want operator scold",19,1,1,0,1,0
93,24,0,0,"want operator shout",19,1,1,0,0,1
94,1,2,1,"do bus curse",20,1,0,1,0,0
94,2,0,0,"do bus scold",20,1,0,1,1,0
94,3,0,0,"do bus shout",20,1,0,1,0,1
94,4,1,1,"do train curse",20,1,0,1,0,0
94,5,0,0,"do train scold",20,1,0,1,1,0
94,6,0,0,"do train shout",20,1,0,1,0,1
94,7,1,1,"do store curse",20,1,0,0,0,0
94,8,0,0,"do store scold",20,1,0,0,1,0
94,9,0,0,"do store shout",20,1,0,0,0,1
94,10,1,1,"do operator curse",20,1,0,0,0,0
94,11,0,0,"do operator scold",20,1,0,0,1,0
94,12,0,0,"do operator shout",20,1,0,0,0,1
94,13,0,0,"want bus curse",20,1,1,1,0,0
94,14,0,0,"want bus scold",20,1,1,1,1,0
94,15,0,0,"want bus shout",20,1,1,1,0,1
94,16,0,0,"want train curse",20,1,1,1,0,0
94,17,0,0,"want train scold",20,1,1,1,1,0
94,18,0,0,"want train shout",20,1,1,1,0,1
94,19,0,0,"want store curse",20,1,1,0,0,0
94,20,0,0,"want store scold",20,1,1,0,1,0
94,21,0,0,"want store shout",20,1,1,0,0,1
94,22,0,0,"want operator curse",20,1,1,0,0,0
94,23,0,0,"want operator scold",20,1,1,0,1,0
94,24,0,0,"want operator shout",20,1,1,0,0,1
95,1,1,1,"do bus curse",22,0,0,1,0,0
95,2,1,1,"do bus scold",22,0,0,1,1,0
95,3,2,1,"do bus shout",22,0,0,1,0,1
95,4,2,1,"do train curse",22,0,0,1,0,0
95,5,1,1,"do train scold",22,0,0,1,1,0
95,6,2,1,"do train shout",22,0,0,1,0,1
95,7,0,0,"do store curse",22,0,0,0,0,0
95,8,0,0,"do store scold",22,0,0,0,1,0
95,9,0,0,"do store shout",22,0,0,0,0,1
95,10,1,1,"do operator curse",22,0,0,0,0,0
95,11,1,1,"do operator scold",22,0,0,0,1,0
95,12,0,0,"do operator shout",22,0,0,0,0,1
95,13,2,1,"want bus curse",22,0,1,1,0,0
95,14,1,1,"want bus scold",22,0,1,1,1,0
95,15,1,1,"want bus shout",22,0,1,1,0,1
95,16,2,1,"want train curse",22,0,1,1,0,0
95,17,1,1,"want train scold",22,0,1,1,1,0
95,18,1,1,"want train shout",22,0,1,1,0,1
95,19,1,1,"want store curse",22,0,1,0,0,0
95,20,0,0,"want store scold",22,0,1,0,1,0
95,21,0,0,"want store shout",22,0,1,0,0,1
95,22,1,1,"want operator curse",22,0,1,0,0,0
95,23,1,1,"want operator scold",22,0,1,0,1,0
95,24,0,0,"want operator shout",22,0,1,0,0,1
96,1,1,1,"do bus curse",18,0,0,1,0,0
96,2,1,1,"do bus scold",18,0,0,1,1,0
96,3,0,0,"do bus shout",18,0,0,1,0,1
96,4,1,1,"do train curse",18,0,0,1,0,0
96,5,1,1,"do train scold",18,0,0,1,1,0
96,6,0,0,"do train shout",18,0,0,1,0,1
96,7,1,1,"do store curse",18,0,0,0,0,0
96,8,0,0,"do store scold",18,0,0,0,1,0
96,9,0,0,"do store shout",18,0,0,0,0,1
96,10,2,1,"do operator curse",18,0,0,0,0,0
96,11,1,1,"do operator scold",18,0,0,0,1,0
96,12,0,0,"do operator shout",18,0,0,0,0,1
96,13,2,1,"want bus curse",18,0,1,1,0,0
96,14,1,1,"want bus scold",18,0,1,1,1,0
96,15,0,0,"want bus shout",18,0,1,1,0,1
96,16,1,1,"want train curse",18,0,1,1,0,0
96,17,1,1,"want train scold",18,0,1,1,1,0
96,18,0,0,"want train shout",18,0,1,1,0,1
96,19,1,1,"want store curse",18,0,1,0,0,0
96,20,0,0,"want store scold",18,0,1,0,1,0
96,21,0,0,"want store shout",18,0,1,0,0,1
96,22,1,1,"want operator curse",18,0,1,0,0,0
96,23,1,1,"want operator scold",18,0,1,0,1,0
96,24,0,0,"want operator shout",18,0,1,0,0,1
97,1,0,0,"do bus curse",26,0,0,1,0,0
97,2,0,0,"do bus scold",26,0,0,1,1,0
97,3,0,0,"do bus shout",26,0,0,1,0,1
97,4,1,1,"do train curse",26,0,0,1,0,0
97,5,1,1,"do train scold",26,0,0,1,1,0
97,6,0,0,"do train shout",26,0,0,1,0,1
97,7,0,0,"do store curse",26,0,0,0,0,0
97,8,0,0,"do store scold",26,0,0,0,1,0
97,9,0,0,"do store shout",26,0,0,0,0,1
97,10,0,0,"do operator curse",26,0,0,0,0,0
97,11,0,0,"do operator scold",26,0,0,0,1,0
97,12,0,0,"do operator shout",26,0,0,0,0,1
97,13,0,0,"want bus curse",26,0,1,1,0,0
97,14,0,0,"want bus scold",26,0,1,1,1,0
97,15,0,0,"want bus shout",26,0,1,1,0,1
97,16,0,0,"want train curse",26,0,1,1,0,0
97,17,0,0,"want train scold",26,0,1,1,1,0
97,18,0,0,"want train shout",26,0,1,1,0,1
97,19,0,0,"want store curse",26,0,1,0,0,0
97,20,0,0,"want store scold",26,0,1,0,1,0
97,21,0,0,"want store shout",26,0,1,0,0,1
97,22,0,0,"want operator curse",26,0,1,0,0,0
97,23,0,0,"want operator scold",26,0,1,0,1,0
97,24,0,0,"want operator shout",26,0,1,0,0,1
98,1,1,1,"do bus curse",23,0,0,1,0,0
98,2,2,1,"do bus scold",23,0,0,1,1,0
98,3,1,1,"do bus shout",23,0,0,1,0,1
98,4,1,1,"do train curse",23,0,0,1,0,0
98,5,0,0,"do train scold",23,0,0,1,1,0
98,6,0,0,"do train shout",23,0,0,1,0,1
98,7,0,0,"do store curse",23,0,0,0,0,0
98,8,0,0,"do store scold",23,0,0,0,1,0
98,9,0,0,"do store shout",23,0,0,0,0,1
98,10,2,1,"do operator curse",23,0,0,0,0,0
98,11,2,1,"do operator scold",23,0,0,0,1,0
98,12,1,1,"do operator shout",23,0,0,0,0,1
98,13,1,1,"want bus curse",23,0,1,1,0,0
98,14,1,1,"want bus scold",23,0,1,1,1,0
98,15,1,1,"want bus shout",23,0,1,1,0,1
98,16,1,1,"want train curse",23,0,1,1,0,0
98,17,0,0,"want train scold",23,0,1,1,1,0
98,18,0,0,"want train shout",23,0,1,1,0,1
98,19,0,0,"want store curse",23,0,1,0,0,0
98,20,0,0,"want store scold",23,0,1,0,1,0
98,21,0,0,"want store shout",23,0,1,0,0,1
98,22,1,1,"want operator curse",23,0,1,0,0,0
98,23,1,1,"want operator scold",23,0,1,0,1,0
98,24,1,1,"want operator shout",23,0,1,0,0,1
99,1,0,0,"do bus curse",15,0,0,1,0,0
99,2,0,0,"do bus scold",15,0,0,1,1,0
99,3,0,0,"do bus shout",15,0,0,1,0,1
99,4,2,1,"do train curse",15,0,0,1,0,0
99,5,2,1,"do train scold",15,0,0,1,1,0
99,6,0,0,"do train shout",15,0,0,1,0,1
99,7,0,0,"do store curse",15,0,0,0,0,0
99,8,0,0,"do store scold",15,0,0,0,1,0
99,9,0,0,"do store shout",15,0,0,0,0,1
99,10,1,1,"do operator curse",15,0,0,0,0,0
99,11,0,0,"do operator scold",15,0,0,0,1,0
99,12,0,0,"do operator shout",15,0,0,0,0,1
99,13,0,0,"want bus curse",15,0,1,1,0,0
99,14,0,0,"want bus scold",15,0,1,1,1,0
99,15,2,1,"want bus shout",15,0,1,1,0,1
99,16,0,0,"want train curse",15,0,1,1,0,0
99,17,0,0,"want train scold",15,0,1,1,1,0
99,18,0,0,"want train shout",15,0,1,1,0,1
99,19,0,0,"want store curse",15,0,1,0,0,0
99,20,0,0,"want store scold",15,0,1,0,1,0
99,21,0,0,"want store shout",15,0,1,0,0,1
99,22,0,0,"want operator curse",15,0,1,0,0,0
99,23,0,0,"want operator scold",15,0,1,0,1,0
99,24,0,0,"want operator shout",15,0,1,0,0,1
100,1,1,1,"do bus curse",18,0,0,1,0,0
100,2,0,0,"do bus scold",18,0,0,1,1,0
100,3,0,0,"do bus shout",18,0,0,1,0,1
100,4,1,1,"do train curse",18,0,0,1,0,0
100,5,0,0,"do train scold",18,0,0,1,1,0
